









"event,year,description"
"Greek Event 141,27,Principate begins"
"Greek Event 142,14,Augustus dies"
"Greek Event 143,37,Caligula born"
"Greek Event 144,41,Claudius emperor"
"Greek Event 145,43,Britain invaded"
"Greek Event 146,54,Nero emperor"
"Greek Event 147,60,Boudicca revolt"
"Greek Event 148,68,Galba emperor"
"Greek Event 149,69,Vespasian rises"
"Greek Event 150,79,Vesuvius eruption"
"Greek Event 151,-800,Homeric epics composed"
"Greek Event 152,-776,First Olympics"
"Greek Event 153,-594,Alcaeus poetry"
"Greek Event 154,-546,Anacreon court poet"
"Greek Event 155,-480,Aeschylus tragedy"
"Greek Event 156,-468,Sophocles debuts"
"Greek Event 157,-456,Euripides first play"
"Greek Event 158,-428,Plague kills Pericles"
"Greek Event 159,-399,Socrates trial"
"Greek Event 160,-387,Academy founded"
"Greek Event 161,-335,Lyceum founded"
"Greek Event 162,322,Aristotle dies"
"Greek Event 163,307,Epicureanism begins"
"Greek Event 164,306,Stoicism founded"
"Greek Event 165,280,Pyrrho skepticism"
"Greek Event 166,241,Callimachus librarian"
"Greek Event 167,168,Polybius historian"
"Greek Event 168,146,Aristarchus heliocentrism"
"Greek Event 169,120,Eratosthenes measures Earth"
"Greek Event 170,44,Cicero speeches"
"Greek Event 171,31,Virgil Aeneid begins"
"Greek Event 172,14,Horace dies"
"Greek Event 173,79,Pliny Elder dies"
"Greek Event 174,100,Plutarch born"
"Greek Event 175,117,Hadrian emperor"
"Greek Event 176,-650,Aesop fables"
"Greek Event 177,-500,Pythagoras school"
"Greek Event 178,-428,Thucydides history"
"Greek Event 179,-384,Diogenes Cynic"
"Greek Event 180,-370,Plato Republic"
"Greek Event 181,-322,Epicurus philosophy"
"Greek Event 182,301,Septuagint translation"
"Greek Event 183,168,Hanukkah established"
"Greek Event 184,146,Delos tax reform"
"Greek Event 185,88,Athens revolt"
"Greek Event 186,66,Pompey theater"
"Greek Event 187,44,Antony funeral oration"
"Greek Event 188,27,Apollo temple"
"Greek Event 189,14,Ara Pacis built"
"Greek Event 190,41,Colosseum planning"
"Greek Event 191,54,Domus Aurea begins"
"Greek Event 192,79,Pompeii buried"
"Greek Event 193,100,Trajan's Column"
"Greek Event 194,-700,Delphic oracle peak"
"Greek Event 195,-480,Leonidas sacrifice"
"Greek Event 196,-431,Pericles funeral"
"Greek Event 197,-399,Plato meets Socrates"
"Greek Event 198,323,Hellenistic age begins"
"Greek Event 199,168,Six Day War (Maccabees)"
"Greek Event 200,31,Egypt becomes Roman"
